Date,Australian Capital Territory,New South Wales,Northern Territory,Queensland,South Australia,Tasmania,Victoria,Western Australia
6/04/2020,3,40,0,12,10,2,11,18
7/04/2020,3,37,0,13,10,2,13,15
8/04/2020,3,36,0,11,8,2,12,15
9/04/2020,2,31,0,12,6,2,13,15
10/04/2020,2,29,0,12,6,2,13,10
11/04/2020,2,30,0,12,7,2,15,12
12/04/2020,2,30,0,12,6,2,14,15
13/04/2020,2,30,0,11,6,2,14,14
14/04/2020,2,32,0,11,4,2,15,14
15/04/2020,1,29,0,11,4,2,18,11
16/04/2020,1,26,0,11,1,2,17,8
17/04/2020,1,26,0,11,1,2,13,6
18/04/2020,0,25,0,9,1,2,12,6
19/04/2020,0,21,0,8,1,2,10,6
20/04/2020,0,22,0,7,1,2,11,6
22/04/2020,0,20,0,7,1,1,13,5
23/04/2020,0,21,0,7,2,0,10,5
24/04/2020,0,19,0,6,2,0,11,4
25/04/2020,1,19,0,6,2,0,11,4
26/04/2020,1,19,0,6,2,0,11,4
27/04/2020,1,19,0,6,2,0,11,4
28/04/2020,0,19,0,6,2,0,11,4
29/04/2020,0,17,0,6,2,0,9,4
30/04/2020,0,15,0,6,1,0,9,3
1/05/2020,0,14,0,4,0,0,7,3
2/05/2020,0,14,0,4,0,0,7,3
3/05/2020,0,14,0,4,0,0,7,3
4/05/2020,0,14,0,4,0,1,6,3
5/05/2020,0,13,0,4,0,1,6,3
6/05/2020,0,13,0,4,0,1,6,3
7/05/2020,0,10,0,3,0,1,6,3
8/05/2020,0,10,0,3,0,1,6,1
9/05/2020,0,8,0,3,0,1,6,1
10/05/2020,0,8,0,3,0,0,5,1
11/05/2020,0,7,0,3,0,0,5,1
12/05/2020,0,8,0,3,0,0,4,1
13/05/2020,0,7,0,3,0,0,6,1
14/05/2020,0,8,0,3,0,0,6,1
15/05/2020,0,7,0,3,0,0,7,0
16/05/2020,0,6,0,3,0,0,7,0
17/05/2020,0,7,0,2,0,0,7,0
18/05/2020,0,6,0,1,0,0,5,0
19/05/2020,0,5,0,1,0,0,5,0
20/05/2020,0,3,0,1,0,0,5,0
21/05/2020,0,3,0,1,0,0,5,0
22/05/2020,0,1,0,1,0,0,5,0
23/05/2020,0,1,0,1,0,0,3,0
24/05/2020,0,1,0,1,0,0,3,0
25/05/2020,0,1,0,1,0,0,3,0
26/05/2020,0,1,0,1,0,0,3,0
27/05/2020,0,1,0,1,0,0,4,0
28/05/2020,0,1,0,1,0,0,3,0
29/05/2020,0,1,0,1,0,0,2,0
30/05/2020,0,1,0,1,0,0,2,0
31/05/2020,0,1,0,1,0,0,2,0
1/06/2020,0,1,0,1,0,0,1,0
2/06/2020,0,1,0,1,0,0,2,0
3/06/2020,0,2,0,1,0,0,2,0
4/06/2020,0,1,0,1,0,0,2,0
5/06/2020,0,0,0,1,0,0,1,0
6/06/2020,0,0,0,1,0,0,3,0
7/06/2020,0,0,0,1,0,0,2,0
8/06/2020,0,0,0,1,0,0,2,0
9/06/2020,0,0,0,1,0,0,1,0
10/06/2020,0,0,0,1,0,0,2,0
11/06/2020,0,0,0,1,0,0,1,0
12/06/2020,0,0,0,1,0,0,1,0
13/06/2020,0,0,0,1,0,0,1,0
14/06/2020,0,0,0,1,0,0,2,0
15/06/2020,0,0,0,1,0,0,3,0
16/06/2020,0,0,0,1,0,0,2,0
17/06/2020,0,0,0,1,0,0,2,0
18/06/2020,0,0,0,0,0,0,2,0
19/06/2020,0,0,0,0,0,0,2,0
20/06/2020,0,0,0,0,0,0,2,0
21/06/2020,0,0,0,0,0,0,2,0
22/06/2020,0,0,0,0,0,0,2,0
23/06/2020,0,0,0,0,0,0,3,0
24/06/2020,0,0,0,0,0,0,2,0
25/06/2020,0,0,0,0,0,0,2,0
26/06/2020,0,0,0,0,0,0,1,0
27/06/2020,0,0,0,0,0,0,1,0
28/06/2020,0,0,0,0,0,0,1,0
29/06/2020,0,0,0,0,0,0,1,0
30/06/2020,0,0,0,0,0,0,1,0
1/07/2020,0,1,0,0,0,0,2,0
2/07/2020,0,1,0,0,0,0,4,0
3/07/2020,0,1,0,0,0,0,6,0
4/07/2020,0,1,0,0,0,0,3,0
5/07/2020,0,1,0,0,0,0,3,0
6/07/2020,0,0,0,0,0,0,5,0
7/07/2020,0,1,0,0,0,0,9,0
8/07/2020,0,1,0,0,0,0,7,0
9/07/2020,0,1,0,0,0,0,9,0
10/07/2020,0,1,0,0,0,0,12,0
11/07/2020,0,1,0,0,0,0,15,0
12/07/2020,0,1,0,0,0,0,16,0
13/07/2020,0,1,0,0,0,0,17,0
14/07/2020,0,1,0,0,0,0,26,0
15/07/2020,0,1,0,0,0,0,27,0
16/07/2020,0,1,0,0,0,0,29,0
17/07/2020,0,1,0,0,0,0,31,0
18/07/2020,0,1,0,0,0,0,25,0
19/07/2020,0,1,0,0,0,0,28,0
20/07/2020,0,2,0,0,0,0,31,0
21/07/2020,0,2,0,0,0,0,36,0
22/07/2020,0,2,0,0,0,0,40,0
23/07/2020,0,1,0,0,0,0,40,0
24/07/2020,0,3,0,0,0,0,41,0
25/07/2020,0,4,0,0,0,0,42,0
26/07/2020,0,4,0,0,0,0,42,0
27/07/2020,0,5,0,0,0,0,44,0
28/07/2020,0,5,0,0,0,0,42,0
29/07/2020,0,5,0,0,0,0,41,0
30/07/2020,0,6,0,0,0,0,34,0
31/07/2020,0,8,0,0,0,0,36,0
1/08/2020,0,9,0,0,0,0,41,0
2/08/2020,0,8,0,0,0,0,38,0
3/08/2020,0,8,0,0,0,0,35,0
