Date,Recovered
7/04/2020,2547
8/04/2020,2813
9/04/2020,2987
10/04/2020,3141
11/04/2020,3265
12/04/2020,3338
13/04/2020,3494
14/04/2020,3598
15/04/2020,3686
16/04/2020,3747
17/04/2020,3819
18/04/2020,4163
19/04/2020,4230
20/04/2020,4258
22/04/2020,4761
23/04/2020,5045
24/04/2020,5136
25/04/2020,5372
26/04/2020,5539
27/04/2020,5586
28/04/2020,5626
29/04/2020,5667
30/04/2020,5714
1/05/2020,5745
2/05/2020,5789
3/05/2020,5817
4/05/2020,5859
5/05/2020,5889
6/05/2020,5984
7/05/2020,6035
8/05/2020,6079
9/05/2020,6135
10/05/2020,6163
11/05/2020,6179
12/05/2020,6229
13/05/2020,6271
14/05/2020,6301
15/05/2020,6337
16/05/2020,6362
17/05/2020,6367
18/05/2020,6389
19/05/2020,6411
20/05/2020,6444
21/05/2020,6472
22/05/2020,6479
23/05/2020,6494
24/05/2020,6506
25/05/2020,6532
26/05/2020,6553
27/05/2020,6566
28/05/2020,6580
29/05/2020,6582
30/05/2020,6606
31/05/2020,6614
